ID,Code,BName,Address,City,State,PostalCode,Phone,sapStoreCode,sapStoreTypeCode,storeZone,storeLocation,storeCarpetArea,areaGrading,rsmName,rsmEmail,rsmEmployeeCode,asmName,asmEmail,asmEmployeeCode,serverID,GSTIN,businessPhone,landline,removedDetail,merchandiser,merchandiser1,customRegion,StoreCode,storeManager,lic,emailID
11,ST0011,Virk Inc - Thane,"580, Raman Zila
Allahabad-928189",Thane,Maharashtra,884196,0211461285,SAP0011,FRANCHISE,West,Mall,903,A+,Sarthak Bora,adada@example.org,RSM7596,Ranveer Choudhary,balendrabali@example.net,ASM6559,SRV919,37DHGGR8350E7Z3,+912137835276,08886681533,,Chandresh Sehgal,,REG2,ST0011,Victor Parmer,LIC68082,ikbal46@example.net
12,ST0012,Madan-Pai - Vadodara,"H.No. 37
Purohit Zila
Junagadh 463677",Vadodara,Gujarat,509553,+910704774360,SAP0012,RETAIL,North,Mall,882,A,Yahvi Banik,abhimanyu10@example.com,RSM3724,Vamakshi Dass,agrawalvidhi@example.net,ASM7658,SRV597,25GMBFM1035M5Z8,7894246946,+911862220057,,Luke Tiwari,Yoshita Koshy,REG9,ST0012,Aryan Seshadri,LIC96752,mukherjeeupma@example.net
13,ST0013,Deol LLC - Visakhapatnam,"H.No. 600
Mittal Street
Madhyamgram 521772",Visakhapatnam,Andhra Pradesh,003567,+913683616725,SAP0013,FLAGSHIP,South,Shopping Complex,1391,A+,Anya Sethi,golaekbal@example.com,RSM9883,Ronith Lala,jagdishgaba@example.org,ASM1998,SRV865,20BBSPQ9701F1Z9,04950168452,+919078517195,1990-08-19,Atharv Sachdev,,REG10,ST0013,Netra Sandal,LIC18907,suhanibansal@example.net
14,ST0014,Modi Ltd - Ahmedabad,"H.No. 977
Lall
Khora  000195",Ahmedabad,Gujarat,150773,+916738691817,SAP0014,FRANCHISE,North,Street,2871,C,Nakul Toor,mdhar@example.org,RSM1651,Om Lad,anamika87@example.com,ASM2343,SRV529,31SSQKI4346V6Z4,01837972187,+917624270246,,Jeet Chakraborty,,REG5,ST0014,Nitara Wali,LIC69929,frado67@example.com
15,ST0015,"Yohannan, Gupta and Modi - Kanpur","91/39, Kar Path
Nagpur 777078",Kanpur,Uttar Pradesh,217616,09809774913,SAP0015,RETAIL,North,Standalone,2806,A+,Yashasvi Ravi,anitadeol@example.net,RSM2200,Yadavi Parmar,naveen37@example.net,ASM9808,SRV318,26IELCH7054J3Z8,1661481024,+918480869318,,Charan Kamdar,Abdul Padmanabhan,REG10,ST0015,Chasmum Gala,LIC95717,mohanrajeshri@example.net
16,ST0016,Mangat PLC - Patna,"H.No. 91
Babu Path, Ambala 712554",Patna,Bihar,959471,5770833315,SAP0016,RETAIL,Central,Shopping Complex,924,A,Maanas Butala,khannawatika@example.org,RSM5333,Kritika Subramaniam,yamini47@example.org,ASM2891,SRV209,33REIJT4450W6Z4,03217042101,+914150784174,,Xavier Krishnan,Abhiram Patla,REG9,ST0016,Unnati Rajagopalan,LIC74032,kamdardaksh@example.net
17,ST0017,"Shenoy, Dar and Tak - Jaipur","816, Mangat Zila, Tirunelveli 882975",Jaipur,Rajasthan,050080,+916376660517,SAP0017,RETAIL,North,Standalone,1633,A+,Dominic Chokshi,gauri38@example.com,RSM1058,Harrison Sheth,janakikunda@example.org,ASM6464,SRV889,14UIFXO8007R1Z2,+910763248812,8265703662,2017-06-21,Ishita Natarajan,Ronith Chahal,REG3,ST0017,Yochana Biswas,LIC81511,shauryagopal@example.net
18,ST0018,Bath PLC - Delhi,"H.No. 40
Ranganathan Nagar, Indore-198193",Delhi,Delhi,255123,0198838571,SAP0018,OUTLET,Central,Street,2260,A,Faris Oommen,baghyawatibal@example.com,RSM1685,Yatan Loyal,udyati17@example.com,ASM6050,SRV473,35BLGVH2684L9Z7,+915067416702,4348030158,,Gabriel Tara,Bhavani Kade,REG4,ST0018,Frado Loke,LIC31299,kibepriya@example.net
19,ST0019,"Chakraborty, Palla and Keer - Hyderabad","69/11
Vig Street
Nadiad-624850",Hyderabad,Telangana,667043,+913342717305,SAP0019,FRANCHISE,North,Street,1860,B,Veer Kothari,christophersastry@example.net,RSM5065,Pooja Kapoor,ekarajvig@example.net,ASM5371,SRV263,35WDMBP4644G8Z6,03607059973,+916288186462,,Forum Bansal,Charita Sarna,REG4,ST0019,Ishwar Balan,LIC39219,lajitagrover@example.org
20,ST0020,"Bhargava, Bose and Sarkar - Mumbai","04/258, Butala Street
Bardhaman 706221",Mumbai,Maharashtra,217582,+916074921513,SAP0020,FLAGSHIP,West,Shopping Complex,1641,A+,Idika Mann,sairajagopal@example.com,RSM5573,Charvi Sharma,priyamanda@example.org,ASM6753,SRV756,26MVRKA2889I3Z5,1580830395,+915650432773,1989-09-20,Aachal Bail,Dhruv Pant,REG6,ST0020,Yatan Soman,LIC51114,johalshaurya@example.com
21,ST0021,Dey LLC - Thane,"70/015
Bakshi Circle, Muzaffarnagar 079781",Thane,Maharashtra,424487,05410585903,SAP0021,RETAIL,West,Street,1543,A+,Hemangini Mane,christopher15@example.org,RSM8144,Gautami Mukherjee,nattdivya@example.net,ASM1027,SRV632,35RVXXX4228L7Z2,06686575164,09212099477,,Chavvi Mital,Inaya Bassi,REG10,ST0021,Daniel Sharma,LIC51145,kalpit09@example.net
22,ST0022,Nath-Pillay - Chennai,"34
Nagy Road
Deoghar-604401",Chennai,Tamil Nadu,373410,03357705513,SAP0022,OUTLET,Central,Shopping Complex,2172,B+,Ayaan Yadav,hritik41@example.org,RSM7592,Lajita Doshi,janani79@example.net,ASM5844,SRV667,14GNVMV3851T5Z7,4632839555,8328653550,,David Warrior,,REG5,ST0022,Daniel Tandon,LIC37549,quppal@example.com
23,ST0023,Kumar and Sons - Thane,"08/341
Nori Zila
Dhule-661767",Thane,Maharashtra,652934,+915047606041,SAP0023,OUTLET,West,Standalone,2311,A,Girik Gulati,eedwin@example.net,RSM9375,Caleb Dubey,rajaaadhya@example.net,ASM8752,SRV912,35XFVCJ9445V6Z2,2450966356,4965296863,,Xalak Krishnan,Irya Varma,REG5,ST0023,Anika Kala,LIC39444,uoommen@example.org
24,ST0024,"Majumdar, Dave and Mitra - Pune","78/87
Rama Ganj, Nadiad 398719",Pune,Maharashtra,219903,+915781247041,SAP0024,FLAGSHIP,North,Mall,1502,B,Veda Nadig,zsood@example.org,RSM2193,Harrison Dhar,forumthaman@example.net,ASM8461,SRV524,30SGWWM9099M4Z3,05275688129,+911375817161,,Lajita Deol,,REG2,ST0024,Dhriti Shukla,LIC65724,khatriorinder@example.org
25,ST0025,Gala-Rastogi - Ahmedabad,"07
Narayan Path, Ambattur-891746",Ahmedabad,Gujarat,686293,+910183305775,SAP0025,FLAGSHIP,Central,Standalone,705,C,Anya Ganguly,fradoaggarwal@example.org,RSM5082,Aditya Lata,zbal@example.com,ASM2988,SRV567,14ZOVQR6198Y8Z9,+912550686803,2099155025,,Manbir Chana,Anirudh Kaul,REG8,ST0025,Eta Bobal,LIC30861,manthanpal@example.com
26,ST0026,Srinivas-Tank - Visakhapatnam,"23/938
Gandhi Path, Gaya 073280",Visakhapatnam,Andhra Pradesh,303699,1036713851,SAP0026,FRANCHISE,East,Street,1635,C,Jagat Mandal,vrittidevan@example.org,RSM8939,Advay Mani,azaanchaudhry@example.com,ASM4919,SRV381,24CWJHI6502K9Z2,+912028282923,07596682281,,Logan Chaudhary,,REG3,ST0026,Megha Shroff,LIC38043,akshayiyengar@example.net
27,ST0027,Munshi-Jhaveri - Bangalore,"89/65
Kala Path
Indore-061761",Bangalore,Karnataka,147438,8111193955,SAP0027,FRANCHISE,West,Shopping Complex,2722,B,Ekta Kibe,narasimhanikshita@example.org,RSM7812,Gautam Ratta,awarrior@example.org,ASM2020,SRV311,36NMYSW1320Y7Z8,01711426545,6040894423,1971-09-18,Zansi Basu,Omisha Mutti,REG7,ST0027,Nakul Chahal,LIC64921,krishnamurthyharrison@example.net
28,ST0028,Banerjee Ltd - Vadodara,"803, Choudhry Chowk
Darbhanga 613656",Vadodara,Gujarat,153857,+915592908601,SAP0028,FLAGSHIP,West,Street,1617,B,Sarthak Barad,handairya@example.org,RSM8956,Nikita Vala,georgebava@example.net,ASM1475,SRV498,20VVZMX3704O3Z9,8416440677,+917051052328,1971-06-20,Rajeshri Agrawal,Wyatt Kapoor,REG10,ST0028,Frederick Desai,LIC96900,balendra32@example.com
29,ST0029,Comar-Deshpande - Mumbai,"30/814
D’Alia Nagar
Dhule-534884",Mumbai,Maharashtra,231647,+918808566237,SAP0029,RETAIL,West,Street,2391,A,Falak Bakshi,fkaran@example.org,RSM1823,Jalsa Sharaf,daminitalwar@example.org,ASM5262,SRV488,20GOKKY7211I7Z5,1859440521,00563490641,,Vamakshi Chakraborty,Daksh Mangal,REG9,ST0029,Falak Bedi,LIC16826,yoommen@example.org
30,ST0030,Wali PLC - Nagpur,"00/181, Suresh Street
Karaikudi 060391",Nagpur,Maharashtra,381547,01455326876,SAP0030,FLAGSHIP,North,Mall,627,A,Gauri Sant,yatin00@example.com,RSM4266,Wyatt Suri,urmimani@example.org,ASM1333,SRV736,14HEPVD4571O5Z6,01973248048,06585448569,,Brinda Krish,Widisha Taneja,REG2,ST0030,Upasna Guha,LIC31465,lakshmilanka@example.com
31,ST0031,Seth-Mital - Lucknow,"674
Deo Nagar, Serampore-297057",Lucknow,Uttar Pradesh,334288,3295321131,SAP0031,RETAIL,Central,Mall,1777,C,Nirja Borra,pkeer@example.com,RSM7149,Nisha Mukherjee,pooja57@example.org,ASM7498,SRV832,16CSWUH2669W5Z2,05433910102,+912956857744,,Rachana Nayak,Theodore Kala,REG1,ST0031,Jairaj Sarma,LIC55508,deviyatan@example.net
32,ST0032,Nagi-Sule - Vadodara,"53/825
Lata Ganj, Rohtak-998543",Vadodara,Gujarat,579656,+913908008386,SAP0032,FRANCHISE,East,Mall,2572,B+,Garima Devi,ladli40@example.com,RSM1207,Bhavya Dyal,ogaba@example.com,ASM7882,SRV942,25DNLUO3506N3Z9,08596249600,+911652991708,,David Wadhwa,,REG9,ST0032,Riya Raman,LIC73372,vrishtibhargava@example.org
33,ST0033,"Ben, Chauhan and Taneja - Bhopal","01
Kapur
Hubli–Dharwad-260892",Bhopal,Madhya Pradesh,614811,9819247181,SAP0033,FRANCHISE,Central,Shopping Complex,1820,A,Onveer Dara,tripti61@example.org,RSM2419,Reva Gera,bailaadhya@example.org,ASM5569,SRV561,17YOSTV7209K1Z8,7781549036,0006648976,,Oni Ahluwalia,,REG4,ST0033,Upkaar Kant,LIC56507,bpal@example.org
34,ST0034,"Gara, Varghese and Sarma - Jaipur","H.No. 994, Bahl Street
Madanapalle-959399",Jaipur,Rajasthan,701989,02670534762,SAP0034,OUTLET,East,Shopping Complex,2776,A+,Tripti Shere,charita63@example.net,RSM9464,Samaksh Ravel,ikshita15@example.org,ASM4130,SRV187,17XNPRY4937W8Z8,4254391835,5358149704,,Balveer Sani,,REG5,ST0034,Naksh Basak,LIC39045,advay88@example.org
35,ST0035,Sama-Mohan - Indore,"H.No. 419
Karan Circle
Nagpur-074405",Indore,Madhya Pradesh,939506,05935364275,SAP0035,FLAGSHIP,East,Shopping Complex,2438,C,Vedika Parmar,rattigeetika@example.org,RSM9698,Yoshita Rajagopalan,david19@example.net,ASM6632,SRV535,33RKLWO5438J5Z4,9991056411,05920395491,,Falan Deep,,REG2,ST0035,Vaishnavi Deep,LIC80236,sharmayadavi@example.com
36,ST0036,Dayal Group - Hyderabad,"H.No. 223
Amble Circle, Tadepalligudem 311283",Hyderabad,Telangana,428384,+916495394487,SAP0036,FLAGSHIP,South,Standalone,1632,C,Kala Roy,garima38@example.com,RSM9595,Wyatt Hayer,anvi61@example.org,ASM5636,SRV202,36GJHLF5952A9Z3,00899792803,1046003334,,Yoshita Mandal,Gavin Dhawan,REG9,ST0036,Simon Tank,LIC48290,morarmahika@example.org
37,ST0037,"Tiwari, Deol and Gaba - Kolkata","35/05
Kala Zila
South Dumdum-276709",Kolkata,West Bengal,493386,8985901174,SAP0037,FRANCHISE,North,Mall,2851,B+,Vasana Gill,tgill@example.org,RSM8690,Girish Mani,yutikabuch@example.org,ASM8843,SRV551,20FBIPD2070M8Z2,8484253581,3747211740,,Girish Mann,Gayathri Krishna,REG3,ST0037,Tanveer Lad,LIC29555,sbalan@example.com
38,ST0038,Ratta LLC - Lucknow,"025
Vasa Ganj
Mau 407408",Lucknow,Uttar Pradesh,294353,+913796451433,SAP0038,RETAIL,South,Mall,2785,B,Leena Lad,jhaveriharrison@example.org,RSM4697,Tanish Johal,xhora@example.net,ASM9561,SRV489,24OJSNJ1986T2Z4,01075751108,06047641583,,Anika D’Alia,,REG2,ST0038,Omaja Setty,LIC30585,wahab51@example.org
39,ST0039,Garde-Ravi - Ahmedabad,"11, Raman Street, Khora  755097",Ahmedabad,Gujarat,139173,+917655589408,SAP0039,FLAGSHIP,Central,Mall,1141,A+,Jasmit Manda,akshayyadav@example.net,RSM7693,Advika Raval,sarmaforum@example.net,ASM8381,SRV805,29PJBHJ5632W8Z2,03527916655,02791808874,,Leela Rai,Vamakshi Savant,REG10,ST0039,Kritika Loyal,LIC96662,champak83@example.com
40,ST0040,"Trivedi, Bhavsar and Chahal - Pune","966, Kapoor Ganj, Bellary-261193",Pune,Maharashtra,950760,+915659691588,SAP0040,FRANCHISE,North,Street,1110,B+,Darpan Vaidya,isaac02@example.com,RSM3330,Nikita Dada,keerfiyaz@example.org,ASM2169,SRV161,15ZJTXS5728O2Z8,7206813524,0226545152,,Qasim Kaul,Vamakshi Swaminathan,REG5,ST0040,Owen Arya,LIC75597,yashica68@example.com
41,ST0041,"Sheth, Devan and Saini - Vadodara","H.No. 620, Prabhakar Zila
Nandyal 595276",Vadodara,Gujarat,042692,07992026054,SAP0041,FRANCHISE,West,Mall,2949,A+,Samar Ravel,bnori@example.com,RSM8078,William Yadav,bakhshi88@example.com,ASM6280,SRV718,18ACHVS1339Y5Z1,5811110068,08876908598,,Christopher Tiwari,,REG9,ST0041,Triveni Nath,LIC95394,udhar@example.net
42,ST0042,Sarin and Sons - Bhopal,"H.No. 658
Mannan Zila
Bhimavaram-437483",Bhopal,Madhya Pradesh,659237,+917896498755,SAP0042,OUTLET,South,Standalone,2514,A+,Upma Kaur,waida71@example.org,RSM8700,Yachana Om,okorpal@example.com,ASM6700,SRV518,20KVDFK7744W8Z5,+911325579160,03308647352,,Yatan Verma,Guneet Purohit,REG9,ST0042,Viraj Dave,LIC14809,cedwin@example.com
43,ST0043,"Ranganathan, Ramesh and Borde - Bhopal","153
Ganguly Zila
Dharmavaram-466950",Bhopal,Madhya Pradesh,228593,+916536863048,SAP0043,RETAIL,East,Shopping Complex,1824,A+,Dakshesh Seth,luckykala@example.org,RSM7622,Keya Batta,diya32@example.net,ASM9431,SRV944,10VRONB4073Q6Z8,8677634288,08833366529,,Wakeeta Pau,Ojasvi Dalal,REG4,ST0043,Mohini Bhattacharyya,LIC45003,vinaya26@example.org
44,ST0044,Prabhu Ltd - Vadodara,"H.No. 491, Lalla Nagar
Delhi 022035",Vadodara,Gujarat,800846,1973145837,SAP0044,FLAGSHIP,East,Standalone,2485,A+,Leela Dasgupta,upasnadhawan@example.org,RSM1472,Nathaniel Merchant,aryansama@example.org,ASM4920,SRV826,15JRARN2527H2Z8,9274955797,02118014288,,Veda Ramesh,Sneha Wadhwa,REG3,ST0044,Yasti Raghavan,LIC75323,dchakrabarti@example.org
45,ST0045,Johal PLC - Lucknow,"254
Ray Nagar
Patna 726555",Lucknow,Uttar Pradesh,627080,0878253359,SAP0045,OUTLET,West,Standalone,2434,A,Raksha Jaggi,ranganathannoah@example.com,RSM8483,Gagan Ahuja,pavanisaraf@example.com,ASM3369,SRV492,16TQXEC5526Y7Z6,09652688785,03192606661,,Ranbir Loyal,Chaitaly Natarajan,REG1,ST0045,Hardik Chandran,LIC47072,znarang@example.net
46,ST0046,Bhalla Inc - Lucknow,"57/86
Mann Chowk
Gudivada 585543",Lucknow,Uttar Pradesh,636814,+911036291563,SAP0046,FRANCHISE,South,Standalone,2706,B,Mohini Kapoor,jagvi85@example.org,RSM6654,Zinal Varma,watika11@example.com,ASM6446,SRV665,34RMOKG4912S7Z4,+918798241216,+912793871747,,Falan Sachar,Xavier Subramaniam,REG6,ST0046,Siya Aggarwal,LIC71993,aachalpanchal@example.net
47,ST0047,Palla Inc - Indore,"H.No. 249
Reddy, Ajmer 572737",Indore,Madhya Pradesh,427971,6909559144,SAP0047,FRANCHISE,South,Standalone,651,A,Jagat Rama,bandinaveen@example.com,RSM9229,Brinda Wason,hnayar@example.net,ASM6439,SRV990,13ODQOA3361N3Z2,+918780215764,06114979817,,Ryan Yadav,Triya Dalal,REG6,ST0047,Christopher Tiwari,LIC91691,bumbdamini@example.net
48,ST0048,"Srivastava, Rout and Dash - Indore","H.No. 66, Sangha Circle, Malegaon 286888",Indore,Madhya Pradesh,342044,+919266019329,SAP0048,RETAIL,East,Standalone,1797,B,Nimrat Dhar,chaman32@example.com,RSM9864,Meghana Mallick,harsh01@example.net,ASM1588,SRV732,12HUVJH2480N2Z2,3892708902,6195290838,,Abeer Tailor,Charvi Koshy,REG1,ST0048,Widisha Bajwa,LIC16028,ndhar@example.net
49,ST0049,"Karnik, Nazareth and Gill - Kanpur","45/174, Boase, Kavali-271724",Kanpur,Uttar Pradesh,426442,09584365892,SAP0049,RETAIL,East,Shopping Complex,2035,B,Imaran Bora,geradaksh@example.org,RSM3385,Udant Choudhary,siyabuch@example.net,ASM5000,SRV643,23SVZFF3868C7Z4,0049782558,8798504730,,Oliver Mitter,Mohini Lad,REG4,ST0049,Yoshita Sura,LIC70443,unnatigara@example.net
50,ST0050,Bhatnagar Inc - Jaipur,"46/008
Thakkar Nagar
Ahmedabad 378421",Jaipur,Rajasthan,167334,+910236436869,SAP0050,FRANCHISE,East,Mall,2405,B+,Dominic Butala,varenya52@example.net,RSM9955,Anya Wason,gaurav66@example.com,ASM3588,SRV175,24LSJUN5097O5Z4,8104861139,08451229328,,Mohammed Shah,Lucky Ghose,REG2,ST0050,Zashil Misra,LIC41091,ymorar@example.org
51,ST0051,Kala Group - Indore,"H.No. 27
Vala, Dibrugarh-659414",Indore,Madhya Pradesh,438669,+914439377210,SAP0051,OUTLET,Central,Shopping Complex,1709,A+,Jagrati Modi,bhavyaperi@example.org,RSM7484,Ekansh Behl,bajwayatan@example.net,ASM5497,SRV108,28VYXBT9138J4Z6,6223091363,8017553080,,Sarthak Randhawa,,REG5,ST0051,Aarnav Gola,LIC98835,drattan@example.com
52,ST0052,Madan PLC - Kolkata,"716
Dugar Ganj
Haldia 915605",Kolkata,West Bengal,636727,6488781958,SAP0052,RETAIL,North,Shopping Complex,2305,A+,Siya Pradhan,wyattkarpe@example.org,RSM6977,Krishna Chander,zashilrao@example.org,ASM3153,SRV192,19KXNFG3165Z9Z6,01410762697,+917733199204,,Upma Varkey,Aadi Singhal,REG3,ST0052,Dalaja Parikh,LIC43681,dgarg@example.net
53,ST0053,Murty Inc - Visakhapatnam,"89/51
Shetty, Berhampore 205479",Visakhapatnam,Andhra Pradesh,759357,4318727579,SAP0053,OUTLET,East,Mall,2418,A+,Vamakshi Sankar,jwali@example.org,RSM3306,Atharv Apte,nidhi24@example.org,ASM4696,SRV980,31XVMZR6992C7Z1,01991240573,+916898428506,,Vamakshi Balan,,REG6,ST0053,Bakhshi Saini,LIC98188,xranganathan@example.com
54,ST0054,"D’Alia, Datta and Ben - Jaipur","H.No. 965, Pall Nagar
Kolhapur 596184",Jaipur,Rajasthan,907995,2028690834,SAP0054,FRANCHISE,East,Mall,1457,B,Dhriti Sabharwal,valavasudha@example.org,RSM1410,Ronith Sura,jackchawla@example.org,ASM6374,SRV724,17UCUOW5951U7Z2,04731030969,2091482184,,Lavanya Kamdar,Tarak Garde,REG5,ST0054,Aishani Shenoy,LIC74569,sedwin@example.net
55,ST0055,Nagy-Behl - Chennai,"H.No. 15, Hora Road
Anantapur-962566",Chennai,Tamil Nadu,223546,05259515515,SAP0055,RETAIL,South,Street,2091,B,Alka Uppal,simon21@example.com,RSM7078,Anamika Batra,surnoah@example.net,ASM9850,SRV529,28XXENU2622P7Z5,+917668983518,+919238648087,2017-04-21,Xiti Chawla,Sneha Sampath,REG8,ST0055,Daksh Mandal,LIC68287,zpandey@example.org
56,ST0056,Borah PLC - Ahmedabad,"41/272, Wason Ganj
Coimbatore 895296",Ahmedabad,Gujarat,693028,+919832239499,SAP0056,OUTLET,North,Shopping Complex,2730,B+,Sathvik Ahluwalia,somgagan@example.net,RSM1992,Jhalak Kanda,bishakha51@example.net,ASM7523,SRV382,16DOCVG1349B6Z4,+912060148894,08642270719,,Sara Sahni,Eesha Sarma,REG4,ST0056,Bakhshi Kota,LIC18992,fitan17@example.org
57,ST0057,"Memon, Vala and Gara - Vadodara","90/23
Khalsa Path, Moradabad-202192",Vadodara,Gujarat,467187,+918655100252,SAP0057,FLAGSHIP,Central,Street,1454,B+,Vanya Mukherjee,agarwalxavier@example.net,RSM3417,Warda Sidhu,luckyramakrishnan@example.com,ASM1046,SRV383,37EERIZ3858D1Z3,7954852981,+915630772311,1977-10-20,Gunbir Gupta,Anika Chaudhary,REG4,ST0057,Anika Sodhi,LIC87182,gopalbobal@example.com
58,ST0058,"Johal, Yohannan and Hari - Kanpur","H.No. 219
Venkatesh Marg, Ramgarh-590292",Kanpur,Uttar Pradesh,329338,+914214139789,SAP0058,RETAIL,South,Shopping Complex,714,A,Timothy Ramanathan,sureshfalan@example.com,RSM7897,Balveer Desai,matthew83@example.net,ASM9619,SRV216,33CPOYL9408S2Z8,8664314307,09514403455,,Yashawini Munshi,Ganga Manne,REG1,ST0058,Fitan Thakkar,LIC96363,gopaldhar@example.com
59,ST0059,"Nigam, Vasa and Dara - Patna","57, Aggarwal
Bhilwara 415651",Patna,Bihar,767698,5213145674,SAP0059,OUTLET,West,Mall,749,B,Darika Dube,faras28@example.net,RSM7580,Lila Keer,vrindamangal@example.com,ASM7984,SRV802,13PWOCC6277T3Z2,+913122231484,+918351793737,,Tripti Dora,Elijah Chaudhari,REG10,ST0059,Azad Chana,LIC81874,jgour@example.com
60,ST0060,"Cheema, Varghese and Ram - Kanpur","11, Thaker
Malda-092303",Kanpur,Uttar Pradesh,535457,5525254020,SAP0060,FRANCHISE,Central,Shopping Complex,2358,C,Yachana Om,aashi32@example.com,RSM8048,Yash Minhas,ubhasin@example.net,ASM2624,SRV912,32DUUYR4522N8Z4,08325472799,02878378537,,Bhavna Issac,Sai Pathak,REG7,ST0060,Chandresh Dash,LIC64524,warhi14@example.net
